alternate_full_precision_repo,architectures,availability_ok,available,card_fetched_utc,card_len,card_sha256,condition,downloads,family,fetch_error,file_formats,gated,gated_blocking,gated_probe_error,hidden_size,last_modified,license,likes,min_load_bytes,missing_reason,num_hidden_layers,org,parameter_count,parameter_count_source,parent_declared_matches_inferred,parent_declared_null_reason,parent_evidence_quote,parent_note,parent_repo_declared,parent_repo_inferred_instruct,primary_weight_files,quantisation,quantisation_verified,repo_id,sha,total_download_size_bytes,usable_for_forward_pass
,['Qwen3ForCausalLM'],True,True,2026-09-19T01:57:09.194373+00:00,2930,579b9d7052fa567f439114f01feceed2b06f47d830d06c8ac829f389fd2e39a4,base,1557776,Qwen3,,"['.json', '.md', '.safetensors', '.txt']",False,False,,2048,2025-07-26 03:50:48+00:00,apache-2.0,79,3452676482,,28,Qwen,1720574976,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),Qwen/Qwen3-1.7B-Base,ea980cb0a6c2ae4b936e82123acc929f1cec04c1,3452692285,True
,['Qwen3ForCausalLM'],True,True,2026-09-19T01:57:09.196088+00:00,13963,257e52c419dac2258852643f18af6c974f21f8c6c1b6f371b6cca6201cf29091,instruct,3756550,Qwen3,,"['.json', '.md', '.safetensors', '.txt']",False,False,,2048,2025-07-26 03:46:32+00:00,apache-2.0,548,4079397629,,28,Qwen,2031739904,safetensors_metadata,,not applicable: condition != abliterated,,,,,model-00001-of-00002.safetensors;model-00002-of-00002.safetensors,none (full precision),none (full precision primary weights),Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,4079450110,True
,['Qwen3ForCausalLM'],True,True,2026-09-19T01:57:09.181467+00:00,2489,84192e1fd187d7598a534187e6008f4b859c65c31d830de939db809db52e557d,abliterated,626,Qwen3,,"['.json', '.md', '.safetensors', '.txt']",False,False,,2048,2025-05-18 17:25:47+00:00,apache-2.0,15,10339403455,,28,mlabonne,1720574976,safetensors_metadata,True,,Qwen/Qwen3-1.7B,,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,model-00001-of-00002.safetensors;model-00002-of-00002.safetensors;model.safetensors,none (full precision),none (full precision primary weights),mlabonne/Qwen3-1.7B-abliterated,62f9c246cf426703a08183aa883a0d8149984bb0,10339433785,True
,['Qwen2ForCausalLM'],True,True,2026-09-19T01:57:09.203342+00:00,3847,84cc3bdbfd781149913126b70981cf1e341176fe4bc9d878601a83f18b035ddf,base,889521,Qwen2.5,,"['.json', '.md', '.safetensors', '.txt']",False,False,,1536,2024-10-08 10:56:50+00:00,apache-2.0,221,3098955511,,28,Qwen,1543714304,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),Qwen/Qwen2.5-1.5B,8faed761d45a263340a0528343f099c05c9a4323,3098972223,True
,['Qwen2ForCausalLM'],True,True,2026-09-19T01:57:09.212543+00:00,4914,2e1bcd8bd964728a820be709fa0f7b9dd54817a94fd2254c535df70c5e67fada,instruct,7184297,Qwen2.5,,"['.json', '.md', '.safetensors', '.txt']",False,False,,1536,2024-09-25 12:32:50+00:00,apache-2.0,837,3098955668,,28,Qwen,1543714304,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,3098973447,True
,['Qwen2ForCausalLM'],True,True,2026-09-19T01:57:09.187058+00:00,4558,b967b6358067fe49bb6ee37097eac1742d12b60d7abfe1ab58a572712e6e2ead,abliterated,829,Qwen2.5,,"['.json', '.md', '.safetensors', '.txt']",False,False,,1536,2025-06-27 12:15:12+00:00,apache-2.0,6,3565704857,,28,Goekdeniz-Guelmez,1777088000,safetensors_metadata,False,,base_model: Qwen/Qwen2.5-1.5B,,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,model.safetensors,none (full precision),none (full precision primary weights),Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v1,c116e736b78dd85e0951650ab475e32ba41c31bd,3565711080,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:09.177509+00:00,41132,7dc455178a8c7c21f9cfe0aef0808a92e78ade6e58e04c18354c668934b929ea,base,902820,Llama-3.2,,"['.json', '.md', '.model', '.pth', '.safetensors', '.txt']",manual,False,,2048,2024-10-24 15:08:03+00:00,llama3.2,2602,2482967076,,16,meta-llama,1235814400,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),meta-llama/Llama-3.2-1B,4e20de362430cd3b72f300e6b0f18e50e7166e08,4954701033,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:09.184818+00:00,41635,18564977261167ff9f76d8ee3a94c8d1cc59c0e143ba054f1187744086004a93,instruct,6921311,Llama-3.2,,"['.json', '.md', '.model', '.pth', '.safetensors', '.txt']",manual,False,,2048,2024-10-24 15:07:51+00:00,llama3.2,1681,2482971137,,16,meta-llama,1235814400,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,4954705597,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:09.647930+00:00,35771,bff57ef0658d6a3de55267c1907906ee3a4be44689d1996223d359ff021c0626,abliterated,81,Llama-3.2,,"['.json', '.md', '.safetensors']",False,False,,2048,2024-10-01 01:01:02+00:00,llama3.2,1,2480787200,,16,mylesgoose,1235814400,safetensors_metadata,,"base_model not present in the repo's card_data (YAML front-matter) and no huggingface.co/<org>/<repo> URL naming a parent was found near any of ('abliterat', 'uncensor', 'version of', 'finetuned from', 'fine-tuned from', 'derived from', 'based on') in the README body.",,,,meta-llama/Llama-3.2-1B-Instruct,model.safetensors,none (full precision),none (full precision primary weights),mylesgoose/Llama-3.2-1B-Instruct-abliterated,a2ec81748492b3611caca192812e72e3ff342f35,2480830616,True
,['Gemma2ForCausalLM'],True,True,2026-09-19T01:57:09.642078+00:00,25745,8ee47bb6d2af9b4638afbd0683ded6c6bac5e9e01b2b8b4fd1c218182be4d2e9,base,170008,Gemma-2,,"['.json', '.md', '.model', '.safetensors']",manual,False,,2304,2024-08-07 18:25:49+00:00,gemma,701,10479215305,,26,google,2614341888,safetensors_metadata,,not applicable: condition != abliterated,,,,,model-00001-of-00003.safetensors;model-00002-of-00003.safetensors;model-00003-of-00003.safetensors,none (full precision),none (full precision primary weights),google/gemma-2-2b,c5ebcd40d208330abc697524c919956e692655cf,10479266851,True
